"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.846710390E-1,-1.500000060E-2,7.395000011E-2,9.757050514E0
1.866594480E-1,-1.695000008E-2,6.405000389E-2,9.759000778E0
1.886477560E-1,-1.695000008E-2,7.395000011E-2,9.757050514E0
1.906362940E-1,-1.005000062E-2,7.800000161E-2,9.762000084E0
1.926249100E-1,-1.695000008E-2,8.295000345E-2,9.747000694E0
1.946132170E-1,-4.950000439E-3,8.805000782E-2,9.750000000E0
1.966016020E-1,0.000000000E0,5.700000376E-2,9.736050606E0
1.985901300E-1,-7.950000465E-3,8.805000782E-2,9.747000694E0
2.005785150E-1,-4.950000439E-3,9.000000358E-2,9.726000786E0
2.025670540E-1,3.000000026E-3,8.595000207E-2,9.724050522E0
2.045554380E-1,1.800000109E-2,9.300000221E-2,9.742950439E0
2.065439770E-1,1.800000109E-2,8.100000024E-2,9.745050430E0
2.085322840E-1,1.005000062E-2,8.595000207E-2,9.736050606E0
2.105206690E-1,0.000000000E0,7.605000585E-2,9.727950096E0
2.125092070E-1,1.500000060E-2,8.295000345E-2,9.727950096E0
2.144975920E-1,1.005000062E-2,9.495000541E-2,9.712050438E0
2.164861300E-1,1.005000062E-2,8.805000782E-2,9.709050179E0
2.184745150E-1,1.995000057E-2,8.100000024E-2,9.714000702E0
2.204630540E-1,2.205000073E-2,8.100000024E-2,9.718950272E0
2.224514190E-1,3.195000067E-2,1.020000055E-1,9.703950882E0
2.244397270E-1,2.205000073E-2,8.100000024E-2,9.712050438E0
2.264340000E-1,6.000000052E-3,7.395000011E-2,9.747000694E0
2.284282650E-1,4.200000316E-2,8.595000207E-2,9.733050346E0
2.304052650E-1,2.700000070E-2,7.605000585E-2,9.739950180E0
2.323935730E-1,2.700000070E-2,7.605000585E-2,9.742950439E0
2.343821120E-1,2.700000070E-2,8.295000345E-2,9.742950439E0
2.363704960E-1,3.000000119E-2,6.900000572E-2,9.738000870E0
2.383590350E-1,3.000000119E-2,8.100000024E-2,9.747000694E0
2.403474190E-1,3.000000119E-2,7.095000148E-2,9.738000870E0
2.423357270E-1,4.395000264E-2,6.195000187E-2,9.747000694E0
2.443243310E-1,4.605000094E-2,5.700000376E-2,9.733050346E0
2.463126390E-1,3.705000132E-2,7.095000148E-2,9.718950272E0
2.483011770E-1,3.900000080E-2,6.599999964E-2,9.727950096E0
2.502895620E-1,5.100000277E-2,7.395000011E-2,9.754950523E0
2.522781010E-1,3.705000132E-2,7.095000148E-2,9.742950439E0
2.542664850E-1,3.000000119E-2,8.100000024E-2,9.751950264E0
2.562550100E-1,5.400000140E-2,7.800000161E-2,9.747000694E0
2.582433940E-1,4.395000264E-2,8.295000345E-2,9.751950264E0
2.602319330E-1,3.405000269E-2,9.495000541E-2,9.750000000E0
2.622202400E-1,4.905000329E-2,7.800000161E-2,9.739950180E0
2.642086250E-1,4.395000264E-2,1.000500023E-1,9.726000786E0
2.661971640E-1,3.705000132E-2,8.595000207E-2,9.726000786E0
2.681855430E-1,4.200000316E-2,8.100000024E-2,9.712050438E0
2.701740820E-1,4.395000264E-2,8.805000782E-2,9.727950096E0
2.721624660E-1,2.700000070E-2,9.495000541E-2,9.715950012E0
2.741510050E-1,3.405000269E-2,8.295000345E-2,9.715950012E0
2.761393890E-1,3.405000269E-2,1.020000055E-1,9.724050522E0
2.781276970E-1,4.200000316E-2,8.100000024E-2,9.730950356E0
2.801162120E-1,1.800000109E-2,8.295000345E-2,9.726000786E0
2.821048280E-1,3.000000026E-3,1.020000055E-1,9.733050346E0
2.840931360E-1,1.500000060E-2,8.805000782E-2,9.730950356E0
2.860815200E-1,3.000000026E-3,8.100000024E-2,9.739950180E0
2.880700590E-1,3.000000026E-3,9.795000404E-2,9.750000000E0
2.900584430E-1,-7.950000465E-3,8.595000207E-2,9.762000084E0
2.920469870E-1,-3.000000026E-3,8.595000207E-2,9.759000778E0
2.940353710E-1,1.050000079E-3,8.595000207E-2,9.751950264E0
2.960239100E-1,-3.000000026E-3,9.795000404E-2,9.745050430E0
2.980122180E-1,-1.005000062E-2,8.295000345E-2,9.757050514E0
3.000006020E-1,-1.695000008E-2,7.800000161E-2,9.762000084E0
3.019891210E-1,-1.995000057E-2,8.100000024E-2,9.739950180E0
3.039775050E-1,-2.400000021E-2,8.805000782E-2,9.739950180E0
3.059660440E-1,-1.995000057E-2,7.800000161E-2,9.738000870E0
3.079544280E-1,-1.695000008E-2,7.095000148E-2,9.739950180E0
3.099429670E-1,-1.695000008E-2,8.295000345E-2,9.727950096E0
3.119313510E-1,-1.695000008E-2,8.100000024E-2,9.730950356E0
3.139198620E-1,-1.200000010E-2,6.599999964E-2,9.726000786E0
3.159081700E-1,-1.005000062E-2,8.805000782E-2,9.726000786E0
3.178965540E-1,-1.200000010E-2,7.395000011E-2,9.730950356E0
3.198851700E-1,-4.950000439E-3,7.095000148E-2,9.747000694E0
3.218734770E-1,0.000000000E0,5.205000192E-2,9.715950012E0
3.238620200E-1,-1.200000010E-2,7.605000585E-2,9.738000870E0
3.258504040E-1,1.050000079E-3,8.100000024E-2,9.726000786E0
3.278389430E-1,-1.005000062E-2,8.595000207E-2,9.745050430E0
3.298273270E-1,0.000000000E0,7.395000011E-2,9.739950180E0
3.318158660E-1,1.305000018E-2,7.395000011E-2,9.739950180E0
3.338042510E-1,1.500000060E-2,7.605000585E-2,9.721050262E0
3.357925680E-1,1.305000018E-2,7.095000148E-2,9.724050522E0
3.377811070E-1,1.305000018E-2,8.295000345E-2,9.724050522E0
3.397694910E-1,1.005000062E-2,9.795000404E-2,9.724050522E0
3.417581070E-1,2.505000122E-2,6.405000389E-2,9.733050346E0
3.437464140E-1,3.705000132E-2,6.195000187E-2,9.739950180E0
3.457349530E-1,2.700000070E-2,6.195000187E-2,9.727950096E0
3.477233560E-1,2.505000122E-2,8.295000345E-2,9.726000786E0
3.497118950E-1,2.505000122E-2,7.095000148E-2,9.736050606E0
3.517002800E-1,1.500000060E-2,7.095000148E-2,9.736050606E0
3.536885870E-1,2.205000073E-2,8.295000345E-2,9.730950356E0
3.556771260E-1,1.800000109E-2,7.605000585E-2,9.733050346E0
3.576657410E-1,1.800000109E-2,8.295000345E-2,9.745050430E0
3.596540540E-1,2.700000070E-2,6.599999964E-2,9.733050346E0
3.616424380E-1,2.205000073E-2,7.605000585E-2,9.747000694E0
3.636309770E-1,3.195000067E-2,7.395000011E-2,9.738000870E0
3.656193620E-1,2.205000073E-2,6.900000572E-2,9.745050430E0
3.676079000E-1,3.000000119E-2,8.595000207E-2,9.742950439E0
3.695962850E-1,2.505000122E-2,8.595000207E-2,9.750000000E0
3.715848130E-1,2.205000073E-2,9.300000221E-2,9.747000694E0
3.735731210E-1,3.405000269E-2,7.395000011E-2,9.747000694E0
3.755615050E-1,1.995000057E-2,8.805000782E-2,9.745050430E0
3.775500440E-1,1.500000060E-2,7.605000585E-2,9.742950439E0
3.795384280E-1,2.205000073E-2,7.605000585E-2,9.747000694E0
3.815269670E-1,3.405000269E-2,7.800000161E-2,9.750000000E0
3.835153620E-1,3.705000132E-2,6.195000187E-2,9.742950439E0
3.855039000E-1,3.000000119E-2,7.800000161E-2,9.736050606E0
3.874922850E-1,2.205000073E-2,5.895000324E-2,9.727950096E0
3.894808230E-1,1.800000109E-2,6.599999964E-2,9.727950096E0
3.914691310E-1,1.005000062E-2,7.800000161E-2,9.718950272E0
3.934575000E-1,3.000000119E-2,7.395000011E-2,9.726000786E0
3.954461160E-1,2.205000073E-2,8.100000024E-2,9.727950096E0
3.974344240E-1,1.995000057E-2,7.395000011E-2,9.736050606E0
3.994229620E-1,3.000000119E-2,6.599999964E-2,9.739950180E0
4.014113470E-1,2.505000122E-2,7.800000161E-2,9.714000702E0
4.033998850E-1,2.505000122E-2,7.095000148E-2,9.730950356E0
4.053882800E-1,2.205000073E-2,7.095000148E-2,9.733050346E0
4.073765870E-1,1.800000109E-2,8.295000345E-2,9.730950356E0
4.093652030E-1,2.205000073E-2,7.800000161E-2,9.745050430E0
