"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.803173594E0,-2.812500000E0,-3.300000000E1,-4.620000076E1
1.823170281E0,-3.056250095E0,-3.300000000E1,-4.608750153E1
1.843148425E0,-2.700000048E0,-3.324375153E1,-4.631250000E1
1.863116521E0,-2.700000048E0,-3.311250305E1,-4.614375305E1
1.883082963E0,-2.700000048E0,-3.311250305E1,-4.614375305E1
1.903049732E0,-2.700000048E0,-3.311250305E1,-4.614375305E1
1.923057621E0,-2.587500095E0,-3.324375153E1,-4.614375305E1
1.943098059E0,-2.512500048E0,-3.341250229E1,-4.620000076E1
1.963132510E0,-2.456250191E0,-3.311250305E1,-4.620000076E1
1.983158957E0,-2.343750000E0,-3.294375229E1,-4.595625305E1
2.003170553E0,-2.400000095E0,-3.294375229E1,-4.595625305E1
2.023167187E0,-2.156250000E0,-3.318750000E1,-4.571250153E1
2.043178210E0,-2.156250000E0,-3.305625153E1,-4.554375076E1
2.063182498E0,-2.043750048E0,-3.318750000E1,-4.571250153E1
2.083186757E0,-2.043750048E0,-3.305625153E1,-4.571250153E1
2.103183411E0,-2.043750048E0,-3.305625153E1,-4.535625076E1
2.123165636E0,-2.043750048E0,-3.318750000E1,-4.518750000E1
2.143169886E0,-2.043750048E0,-3.318750000E1,-4.535625076E1
2.163166588E0,-2.156250000E0,-3.318750000E1,-4.571250153E1
2.183151766E0,-2.156250000E0,-3.318750000E1,-4.571250153E1
2.203126905E0,-2.043750048E0,-3.354375076E1,-4.614375305E1
2.223100443E0,-2.212500095E0,-3.335625076E1,-4.595625305E1
2.243069909E0,-2.400000095E0,-3.335625076E1,-4.595625305E1
2.263077783E0,-2.456250191E0,-3.318750000E1,-4.631250000E1
2.283073985E0,-2.512500048E0,-3.318750000E1,-4.625625229E1
2.303101378E0,-2.700000048E0,-3.335625076E1,-4.625625229E1
2.323132815E0,-2.700000048E0,-3.294375229E1,-4.578750229E1
2.343137305E0,-2.587500095E0,-3.294375229E1,-4.601250076E1
2.363163483E0,-2.587500095E0,-3.294375229E1,-4.554375076E1
2.383137257E0,-2.512500048E0,-3.311250305E1,-4.571250153E1
2.403141531E0,-2.212500095E0,-3.311250305E1,-4.554375076E1
2.423145795E0,-2.212500095E0,-3.341250229E1,-4.554375076E1
2.443150078E0,-2.043750048E0,-3.348750305E1,-4.560000229E1
2.463177223E0,-1.987500072E0,-3.348750305E1,-4.560000229E1
2.483173862E0,-2.156250000E0,-3.384375000E1,-4.565625000E1
2.503170578E0,-2.287500143E0,-3.360000229E1,-4.565625000E1
2.523162890E0,-2.343750000E0,-3.330000305E1,-4.571250153E1
2.543125870E0,-2.343750000E0,-3.305625153E1,-4.571250153E1
2.563106581E0,-2.456250191E0,-3.305625153E1,-4.584375000E1
2.583083210E0,-2.287500143E0,-3.288750076E1,-4.571250153E1
2.603082936E0,-2.287500143E0,-3.288750076E1,-4.608750153E1
2.623086387E0,-2.287500143E0,-3.270000076E1,-4.595625305E1
2.643106598E0,-2.287500143E0,-3.270000076E1,-4.595625305E1
2.663130890E0,-2.400000095E0,-3.311250305E1,-4.578750229E1
2.683144029E0,-2.512500048E0,-3.324375153E1,-4.595625305E1
2.703167499E0,-2.400000095E0,-3.335625076E1,-4.571250153E1
2.723148878E0,-2.512500048E0,-3.335625076E1,-4.571250153E1
2.743153114E0,-2.643750191E0,-3.354375076E1,-4.548750305E1
2.763149705E0,-2.756250143E0,-3.354375076E1,-4.518750000E1
2.783153954E0,-2.643750191E0,-3.384375000E1,-4.554375076E1
2.803173512E0,-2.587500095E0,-3.365625000E1,-4.571250153E1
2.823170199E0,-2.587500095E0,-3.311250305E1,-4.560000229E1
2.843166901E0,-2.587500095E0,-3.311250305E1,-4.548750305E1
2.863166305E0,-2.756250143E0,-3.324375153E1,-4.548750305E1
2.883131996E0,-2.756250143E0,-3.348750305E1,-4.530000305E1
2.903119736E0,-2.643750191E0,-3.311250305E1,-4.535625076E1
2.923103534E0,-2.512500048E0,-3.311250305E1,-4.535625076E1
2.943103961E0,-2.512500048E0,-3.281250000E1,-4.511250305E1
2.963111971E0,-2.512500048E0,-3.281250000E1,-4.530000305E1
2.983117427E0,-2.400000095E0,-3.300000000E1,-4.535625076E1
3.003134604E0,-2.212500095E0,-3.324375153E1,-4.541250229E1
3.023139946E0,-2.043750048E0,-3.335625076E1,-4.548750305E1
3.043163811E0,-1.912500024E0,-3.311250305E1,-4.565625000E1
3.063160464E0,-2.043750048E0,-3.335625076E1,-4.554375076E1
3.083172343E0,-2.043750048E0,-3.335625076E1,-4.548750305E1
3.103169021E0,-2.156250000E0,-3.354375076E1,-4.571250153E1
3.123165665E0,-2.043750048E0,-3.365625000E1,-4.571250153E1
3.143177559E0,-2.043750048E0,-3.390000153E1,-4.601250076E1
3.163166616E0,-2.043750048E0,-3.384375000E1,-4.601250076E1
3.183170847E0,-2.043750048E0,-3.341250229E1,-4.620000076E1
3.203173870E0,-2.043750048E0,-3.360000229E1,-4.620000076E1
3.223146707E0,-1.856250048E0,-3.360000229E1,-4.644375229E1
3.243141669E0,-2.100000143E0,-3.371250153E1,-4.680000305E1
3.263107298E0,-2.100000143E0,-3.390000153E1,-4.668750000E1
3.283111596E0,-2.212500095E0,-3.371250153E1,-4.650000000E1
3.303119543E0,-2.456250191E0,-3.335625076E1,-4.631250000E1
3.323133134E0,-2.587500095E0,-3.300000000E1,-4.631250000E1
3.343160778E0,-2.756250143E0,-3.300000000E1,-4.608750153E1
3.363158652E0,-2.756250143E0,-3.288750076E1,-4.625625229E1
3.383175446E0,-2.756250143E0,-3.305625153E1,-4.601250076E1
3.403164484E0,-2.512500048E0,-3.305625153E1,-4.584375000E1
